tanggal,jam,sens1,sens2,sens3,sens4
26-Mar,13:30,29.61,81.7,2268.16,869.63
26-Mar,13:40,29.3,89.2,1740.8,868.89
26-Mar,13:50,26.82,98.5,3059.2,869.36
26-Mar,14:00,24.65,99.9,1632,869.77
26-Mar,14:10,24.55,99.9,1110.4,869.49
26-Mar,14:20,24.34,99.9,1023.36,869.37
26-Mar,14:30,23.61,99.9,1160.32,869.59
26-Mar,14:40,22.89,99.9,1541.12,869.5
26-Mar,14:50,22.89,99.9,2096.64,869.18
26-Mar,15:00,22.79,99.9,2200.32,867.49
26-Mar,15:10,22.79,99.9,1889.28,866.91
26-Mar,15:20,22.68,99.9,1992.96,866.69
26-Mar,15:30,22.68,99.9,1440,867.18
26-Mar,15:40,22.68,99.9,1601.28,867.27
26-Mar,15:50,22.48,99.1,1670.4,867.13
26-Mar,16:00,22.27,99.9,1981.44,866.71
26-Mar,16:10,22.37,99.9,1468.8,867.35
26-Mar,16:20,22.68,99.9,1065.6,868.51
26-Mar,16:30,22.68,99.9,725.76,869.51
26-Mar,16:40,22.89,99.9,518.4,869.43
26-Mar,16:50,23.2,99.9,374.4,869.74
26-Mar,17:00,23.1,99.9,308.16,868.36
26-Mar,17:10,23.3,99.9,230.4,868.83
26-Mar,17:20,23.41,99.9,159.84,868.07
26-Mar,17:30,23.41,99.9,111.6,869.47
26-Mar,17:40,23.2,99.9,41.64,868.28
26-Mar,17:50,23.1,99.9,0,866.6
26-Mar,18:00,22.99,99.9,0,866.37
26-Mar,18:10,22.89,99.9,0,869.07
26-Mar,18:20,22.89,99.9,0,866.94
26-Mar,18:30,22.99,99.9,0,869.68
26-Mar,18:40,22.99,99.9,0,868.82
26-Mar,18:50,23.1,99.9,0,867.05
26-Mar,19:00,23.2,99.9,0,869.93
26-Mar,19:10,23.2,99.9,0,869.43
26-Mar,19:20,23.41,99.9,0,868.56
26-Mar,19:30,23.51,99.9,0,868.21
26-Mar,19:40,23.51,99.9,0,868.89
26-Mar,19:50,23.51,99.9,0,869.57
26-Mar,20,23.51,99.9,0,868.22
26-Mar,20:10,23.51,99.9,0,869.28
26-Mar,20:20,23.41,99.9,0,869.57
26-Mar,20:30,23.41,99.9,0,869.23
26-Mar,20:40,23.41,99.9,0,868.91
26-Mar,20:50,23.51,99.9,0,869.09
26-Mar,21:00,23.41,99.9,0,869.17
26-Mar,21:10,23.51,99.9,0,868.82
26-Mar,21:20,23.61,99.9,0,869.23
26-Mar,21:30,23.72,99.9,0,869.48
26-Mar,21:40,23.92,99.9,0,869.16
26-Mar,21:50,24.03,99.9,0,869.26
26-Mar,22:00,24.03,99.9,0,868.66
26-Mar,22:10,24.13,99.9,0,869.54
26-Mar,22:20,23.92,99.9,0,868.66
26-Mar,22:30,23.82,99.9,0,867.48
26-Mar,22:40,23.82,99.9,0,869.07
26-Mar,22:50,23.51,99.9,0,869.14
26-Mar,23:00,23.41,99.9,0,869.25
26-Mar,23:10,23.3,99.9,0,869.37
26-Mar,23:20,23.2,99.9,0,867.97
26-Mar,23:30,23.3,99.9,0,869.49
26-Mar,23:40,23.3,99.9,0,868.99
26-Mar,23:50,23.3,99.9,0,869.13
27-Mar,0:00,23.2,99.9,0,869.03
27-Mar,0:10,23.2,99.9,0,868.63
27-Mar,0:20,23.1,99.9,0,869.31
27-Mar,0:30,23.1,99.9,0,868.38
27-Mar,0:40,23.1,99.9,0,868.43
27-Mar,0:50,22.99,99.9,0,869.03
27-Mar,1:00,22.99,99.9,0,868.13
27-Mar,1:10,23.1,99.9,0,868.39
27-Mar,1:20,23.2,99.9,0,869.4
27-Mar,1:30,23.2,99.9,0,868.71
27-Mar,1:40,23.3,99.9,0,869.2
27-Mar,1:50,23.3,99.9,0,868.95
27-Mar,2:00,23.3,99.9,0,868.76
27-Mar,2:10,23.41,99.9,0,868.98
27-Mar,2:20,23.41,99.9,0,868.03
27-Mar,2:30,23.51,99.9,0,868.99
27-Mar,2:40,23.41,99.9,0,868.83
27-Mar,2:50,23.3,99.9,0,867.63
27-Mar,3:00,23.2,99.9,0,866.77
27-Mar,3:10,23.1,99.9,0,868.95
27-Mar,3:20,22.99,99.9,0,868.08
27-Mar,3:30,22.99,99.9,0,869.29
27-Mar,3:40,22.99,99.9,0,869.58
27-Mar,3:50,22.99,99.9,0,868.86
27-Mar,4:00,23.2,99.9,0,868.8
27-Mar,4:10,23.2,99.9,0,869.28
27-Mar,4:20,23.2,99.9,0,867.93
27-Mar,4:30,23.2,99.9,0,868.92
27-Mar,4:40,23.3,99.9,0,869.29
27-Mar,4:50,23.3,99.9,0,866.28
27-Mar,5:00,23.2,99.9,0,868.42
27-Mar,5:10,22.99,99.9,0,866.34
27-Mar,5:20,22.99,99.9,0,867.63
27-Mar,5:30,22.89,99.9,0,867.9
27-Mar,5:40,22.79,99.9,70.76,867.66
27-Mar,5:50,22.79,99.9,291.84,868.95
27-Mar,6:00,22.79,99.9,648.32,868.91
27-Mar,6:10,22.89,99.9,1292.8,869.17
27-Mar,6:20,22.99,99.9,1831.68,869.25
27-Mar,6:30,23.2,99.9,226.77,868.93
27-Mar,6:40,23.3,99.9,3018.24,869.15
27-Mar,6:50,23.51,99.9,3663.36,868.18
27-Mar,7:00,23.72,99.9,4400.64,869.01
