id,tanggal,jam,sens1,sens2,sens3,sens4,sens5,sens6,sens7,sens8,sens9,,,,,
1,26-Mar,13:30,29.61,81.7,2268.16,869.63,0.242563673,0.876629448,0.993103013,0.786264638,0.505002635,0.820279356,0.182067759,0.742207141,0.452084654,0.967753733
2,26-Mar,13:40,29.3,89.2,1740.8,868.89,0.689150044,0.707644971,0.129785861,0.69643948,0.686964972,0.329280339,0.531925979,0.245339382,0.69113024,0.387751822
3,26-Mar,13:50,26.82,98.5,3059.2,869.36,0.700584303,0.419486365,0.423708782,0.599190665,0.08160318,0.661270192,0.826371303,0.281050373,0.001649196,0.515503283
4,26-Mar,14:00,24.65,99.9,1632,869.77,0.38789909,0.397699283,0.619773124,0.682867825,0.365204413,0.269944708,0.666497526,0.100602656,0.480146592,0.982981
5,26-Mar,14:10,24.55,99.9,1110.4,869.49,0.137379007,0.151926543,0.517600531,0.542820608,0.835998739,0.199675104,0.22323241,0.439987151,0.450378227,0.571235411
6,26-Mar,14:20,24.34,99.9,1023.36,869.37,0.719662588,0.007517945,0.808678144,0.742096996,0.068379898,0.00260724,0.25493771,0.136576011,0.696627766,0.944651227
7,26-Mar,14:30,23.61,99.9,1160.32,869.59,0.299423847,0.390277756,0.296860358,0.143902161,0.02092707,0.907813691,0.655901977,0.255137044,0.272185689,0.797305059
8,26-Mar,14:40,22.89,99.9,1541.12,869.5,0.668184808,0.302014388,0.109149036,0.925522549,0.795923466,0.0168461,0.2082153,0.092495774,0.069782277,0.862592227
9,26-Mar,14:50,22.89,99.9,2096.64,869.18,0.672867902,0.566985263,0.360704801,0.772737,0.949301085,0.259108243,0.782464659,0.110281638,0.727117222,0.433177011
10,26-Mar,15:00,22.79,99.9,2200.32,867.49,0.45793613,0.369948025,0.602334626,0.934762148,0.6815571,0.860521237,0.571442327,0.863434133,0.24488727,0.99217218
11,26-Mar,15:10,22.79,99.9,1889.28,866.91,0.137895304,0.835993746,0.92624936,0.908603248,0.920105464,0.355318463,0.117215229,0.899843301,0.787848907,0.869010109
12,26-Mar,15:20,22.68,99.9,1992.96,866.69,0.028688599,0.951276758,0.345762512,0.910650522,0.861652259,0.876933486,0.381852538,0.664011242,0.494163306,0.713311201
13,26-Mar,15:30,22.68,99.9,1440,867.18,0.899170081,0.887470884,0.724451448,0.938780726,0.018028703,0.303893548,0.613061374,0.245820463,0.84913139,0.512480843
14,26-Mar,15:40,22.68,99.9,1601.28,867.27,0.917275809,0.502890896,0.631058929,0.41594367,0.473192858,0.797115589,0.181998409,0.976673006,0.677093691,0.756719956
15,26-Mar,15:50,22.48,99.1,1670.4,867.13,0.023529827,0.46258401,0.457782361,0.585812535,0.578226342,0.901378326,0.63687838,0.967732829,0.861247144,0.923423177
16,26-Mar,16:00,22.27,99.9,1981.44,866.71,0.588243989,0.158346765,0.346380786,0.282558429,0.146541102,0.900802517,0.077024509,0.709915998,0.683340625,0.215019433
17,26-Mar,16:10,22.37,99.9,1468.8,867.35,0.291141085,0.885165053,0.093859857,0.282646811,0.133330555,0.049495879,0.696344269,0.775641292,0.780360354,0.172797356
18,26-Mar,16:20,22.68,99.9,1065.6,868.51,0.705587462,0.615620305,0.178199159,0.494297847,0.833026495,0.271184971,0.792488871,0.297710078,0.855352851,0.581498386
19,26-Mar,16:30,22.68,99.9,725.76,869.51,0.437066906,0.918027517,0.801806489,0.064528847,0.96581853,0.433353008,0.19451552,0.189861376,0.026375111,0.134637552
20,26-Mar,16:40,22.89,99.9,518.4,869.43,0.865769531,0.536020754,0.457655309,0.938811916,0.672589698,0.442219222,0.745862748,0.859160001,0.309490089,0.458265063
21,26-Mar,16:50,23.2,99.9,374.4,869.74,0.126870713,0.101978639,0.363256243,0.281211976,0.172113142,0.627570681,0.976927392,0.208323515,0.59145185,0.440143653
22,26-Mar,17:00,23.1,99.9,308.16,868.36,0.64712235,0.469889063,0.901067849,0.571004956,0.62473654,0.944309769,0.86621324,0.267665549,0.037517297,0.30319283
23,26-Mar,17:10,23.3,99.9,230.4,868.83,0.963472034,0.010726141,0.424961635,0.145988675,0.239137241,0.291148292,0.478507579,0.838440488,0.311969782,0.100502079
